,consistentinconsistent,femininemasculine,beneficialharmful,demotivatemotivate,ethicalunethical,satisfiedunsatisfied,flexiblerigid,amateurprofessional,privatepublic,modernoutdated,foreignersnatives,internationallocal,sustainableunsustainable,analoguedigital,conservativeprogressive,globallylocally,individualismteamwork,biasunbias,communicativeuncommunicative,obscuritytransparency,followerinnovator,longtermshortterm,marketingsecret,diversityuniformity,managerworker,declinegrowth,demandsupply,problemsolution,intangibletangible,lossprofit,diplomaticundiplomatic,rewardingunrewarding,autonomousmicromanagement,productservice,ambiguityclarity,seasonaltemporary,impulsivestrategic,mistrusttrust,goaltask,nonrenewablerenewable,advertisingsecretive,innovativetraditional,purchasersupplier,corruptionintegrity,corporateindividual,insidersoutsiders,economicoverpriced,consultantemployees,environmentpollution,connecteddisconnected,costrevenue,discriminationimpartial,collaborationsilo,challengeobscurity,essentialluxury,commitmentrejection,childchildless,riskysecure,localwidespread,artisanalfinancial,demandingeffortless,leasesell,naturaltechnical,onlinestore,familywork,spectatorsstakeholders,majorityminorities,isolatingsocial,detailsoutlines,goodiessalary,allianceproprietorship,physicalremote,credibledeceptive,dependentindependent,bankruptcyprosperity,pressurerelax,opportunitythreat,criminalrightful,neglectresponsible,disorderorder,captivefreedom
AmerisourceBergen,0.0065189265,0.11216267,-0.03195883,0.1301361,0.1003973,0.2888071,0.11687262,-0.20342498,0.11027518,-0.17524669,0.010104423,-0.0027172181,0.14214885,0.20547228,0.083479464,-0.047814846,-0.1467727,-0.09882581,-0.17782745,-0.035200223,-0.055882998,-0.11508231,-0.004113321,0.07839814,-0.034468178,-0.038967516,0.04840342,0.15519318,-0.06119557,-0.21333331,0.06995755,-0.10778882,-0.19890383,0.16476871,0.056062873,-0.014619928,-0.04281336,0.06294211,-0.16999911,-0.035951573,0.20811255,-0.048050612,-0.15863982,-0.06955744,-0.09558272,0.079731435,0.024669908,-0.24928361,0.053530093,0.11879604,-0.10732994,-0.0060978336,0.024867686,-0.10347293,0.08043806,0.05193831,-0.13194782,0.08155797,-0.09533312,-0.10887968,-0.04046979,0.065111265,0.17831646,-0.09232498,0.1416586,-0.00096042064,0.024849258,0.013541759,-0.020794956,-0.14686747,0.13365516,-0.050345905,-0.14153169,-0.099841,0.0120047135,0.10470199,0.086201966,0.023577338,7.9856836e-05,0.05108534,0.09745909
BP,-0.08846847,-0.0059965183,0.07814712,0.08698485,0.19675037,0.17516004,0.0104878675,-0.021818792,-0.12771192,0.088033676,-0.12731785,-0.06521286,-0.22152945,0.036406636,0.13647604,0.19816273,-0.16295646,0.05866856,0.08225348,-0.24663797,-0.04148888,-0.04111589,-0.03983815,0.30464992,-0.029356487,0.17269292,0.07398701,-0.067586005,0.13927642,-0.12141446,0.096622586,-0.06788319,-0.088657655,0.15948077,-0.009651763,-0.28322,0.07587997,-0.08038704,0.020593604,-0.1574817,0.11563205,-0.09428154,-0.042754233,0.07323581,-0.0017137438,-0.09103841,0.15164733,-0.11118006,-0.24341515,-0.06326208,0.12665768,-0.122739054,-0.14370327,-0.097341575,-0.032506727,-0.018685814,-0.10232045,0.09128346,0.015553018,0.018051423,0.0025628493,-0.0025180087,0.079133354,-0.07160541,-0.10929568,-0.16748352,0.044742096,0.032262906,-0.012016331,0.04475823,0.009234408,-0.08635887,-0.0055492735,-0.03364487,0.0687775,0.121534854,0.056819946,0.044952497,-0.03319742,-0.09117757,-0.050863735
Royal_Dutch_Shell,-0.0069939257,-0.11796641,0.03385401,-0.08211123,0.009969289,-0.12221389,0.14484942,-0.0409727,0.05966345,0.032713197,0.07563934,0.1954431,-0.0055577713,0.17572407,-0.014897561,0.15310675,-0.106339246,0.045285188,-0.0185816,-0.031168792,-0.08167279,-0.091109455,-0.10974302,0.1914612,-0.0008180211,0.32796857,-0.18984886,-0.059882008,0.20236783,-0.28609347,-0.036360502,0.043265454,-0.17104432,0.0073649455,-0.08175051,-0.075590834,-0.05210844,-0.058981407,0.06638905,-0.2219197,0.11717232,-0.11234764,-0.03185809,0.08920309,-0.03253131,-0.2757068,0.13642107,-0.14926817,-0.1405119,-0.019008735,0.028061429,0.045256957,-0.056762636,0.018385015,-0.07944378,-0.06662531,-0.06249523,0.1367959,-0.017751263,-0.12359082,0.048482735,0.06500779,0.11602184,0.017334485,-0.14390092,-0.18700852,0.10209128,0.04034698,0.09485397,0.052775994,0.013167558,-0.07580281,0.062136546,-0.00059511134,-0.09878681,0.11079219,0.0011226522,0.12886655,-0.009925719,-0.019423354,0.08208687
Alphabet,-0.14177823,0.14129557,-0.13302469,0.0010444141,-0.0065851267,-0.061492786,-0.027744157,0.3418772,0.16768885,0.14969318,-0.017179558,-0.08741228,0.19109769,-0.07872237,0.07753093,-0.062161192,-0.056337565,0.09395573,0.22822669,0.0015181722,-0.036789987,-0.007349335,-0.04553674,0.26019654,-0.0545537,0.14863907,0.2154446,0.029289184,-0.12447691,-0.121490106,0.13810553,-0.104513645,-0.16359185,0.19731964,0.08425753,-0.14666918,0.03269933,-0.10488496,0.030720042,-0.13127103,0.14389266,-0.057313185,-0.028752705,0.0019750658,0.045588322,-0.059324507,-0.14121431,0.034652654,0.046856284,-0.13449854,-0.040109597,-0.19839346,0.09865942,0.03492893,0.19827858,-0.00815836,-0.08426993,-0.0074338256,-0.1395721,0.012411472,-0.05982591,0.13336264,-0.12333624,-0.10265492,0.031892437,-0.011073327,0.009936292,-0.03213163,-0.14340442,0.018684076,-0.06494058,-0.044752486,-0.16502583,0.06708099,0.0209567,-0.04847184,0.096264064,0.040694263,-0.055140436,0.045632266,-0.016066056
Exxon_Mobil,-0.04002106,-0.18533343,0.024486948,-0.02449541,0.15329129,-0.0017621043,-0.10658516,-0.03636915,-0.110881,-0.0022505624,-0.10008786,0.10932717,-0.08988505,-0.106609225,0.23148406,0.21079695,-0.05829642,-0.022663249,-0.070991136,-0.122810096,-0.12442692,-0.10650846,-0.07668191,0.21146037,-0.16462459,0.29420736,-0.10776151,0.0033665907,0.07054974,-0.3584781,0.007914353,0.093492515,-0.13747413,0.0054573347,-0.006383246,-0.104921564,-0.025614405,-0.16081978,0.09680982,0.034511574,0.09114726,0.08227575,0.027320592,0.13441241,0.056936607,-0.20005986,0.19752625,-0.092591584,-0.19047643,-0.06400599,-0.0077813393,-0.051547006,0.01751292,0.044935424,-0.0073316176,-0.1042556,-0.13290879,0.10899777,0.04626877,0.04271468,-0.0244036,0.067084104,0.0635861,-0.11438734,-0.030265816,-0.14095576,0.08045661,0.15144385,0.13016267,-0.018424857,-0.022854347,0.029199705,0.0042430675,-0.022467103,-0.023841752,0.1242256,0.05320011,0.03662872,0.0450159,-0.09316146,0.04206631
Daimler,-0.19739461,-0.29664642,0.037281327,0.010055687,0.052334305,0.2038997,-0.047254495,-0.12502012,0.054053023,0.08578392,0.059466835,-0.25965542,0.11259213,-0.0017733068,0.08081176,0.19601123,0.02209489,-0.040971085,0.052788313,-0.12557182,-0.044767447,-0.12259289,-0.19066381,0.18727076,-0.08870883,0.077643156,0.084722765,-0.0825487,0.08261649,-0.14378813,-0.113327526,0.004236334,0.10489641,0.11679293,0.11202747,-0.17081228,-0.11383118,-0.04035007,-0.01784595,-0.07280684,0.15802659,-0.007372189,-0.014942851,0.044772472,0.099605456,-0.05471443,0.15384634,-0.12341451,-0.252105,-0.08327039,0.0056083817,-0.12004046,0.08280551,-0.06381706,-0.1872852,-0.04080177,-0.0013425581,0.048735157,-0.16129291,0.01903641,-0.13667746,-0.14066829,-0.12806576,-0.11494714,0.0077946,-0.011049446,-0.0006360421,0.047190186,0.0075378953,-0.06284608,0.06089185,0.08000948,0.023833137,0.14798854,0.04990606,0.14091176,0.090291455,0.008240029,0.07883134,-0.1188999,0.08984881
Costco_Wholesale,-0.19106036,-0.14575195,0.07810853,-0.09238034,0.23107828,0.18168777,-0.13720946,-0.123945646,0.07330871,-0.22259687,0.006991952,-0.014739138,-0.1132009,-0.30241945,-0.010702541,-0.02057257,0.04835457,-0.18914042,0.0012813802,0.0014675703,0.056934014,-0.13786471,-0.088626534,0.063037165,-0.01863143,0.16139066,0.064706266,-0.0015400121,-0.030854642,-0.12577467,0.122145556,0.07498633,-0.03537348,-0.069485225,-0.0799753,0.21478085,-0.014853004,0.05837238,-0.057575095,-0.10612847,0.08341905,0.19442482,-0.030588482,-0.0908061,0.17348231,-0.08155586,0.032161087,-0.22153282,0.0067095766,0.047774218,-0.031184874,-0.015766833,-0.046082944,-0.06750223,-0.07801102,-0.059396762,-0.16921952,0.09797748,-0.032114252,0.053975876,-0.020479148,-0.027307777,0.103533514,-0.33907586,-0.04531776,-0.023891142,0.16215739,0.026822623,0.0117621515,0.081307,0.098961934,0.043412678,-0.04737713,-0.07210986,0.05041994,0.1422498,-0.005400438,-0.076170176,-0.028907502,-0.0116029745,0.12390109
Cigna,-0.102644004,0.11574205,0.059629094,-0.008692046,0.080526605,0.1503685,-0.052281857,-0.19381523,0.24033448,-0.30619258,-0.0030018883,-0.03424462,-0.073127024,-0.05520654,-0.080136955,0.03648413,-0.064817905,-0.030518712,-0.091022015,-0.037850603,0.05485474,-0.023422053,0.01856661,0.29483813,0.0034944443,0.108383276,0.19098608,0.00782826,0.027063157,-0.28744695,0.10125021,0.06621313,-0.03991996,0.020727985,-0.0129878735,0.094676085,-0.13078947,-0.12566282,0.08411408,0.028533632,0.12254884,-0.07744382,0.023287926,0.00284764,-0.07345022,-0.20913695,0.09592947,-0.14642607,0.0037771391,0.041181847,0.18385921,-0.0032397888,0.0867577,-0.084840275,0.107633784,-0.14002061,-0.029778846,0.0794021,-0.13401647,-0.14825033,-0.075989656,0.0333971,0.09061753,-0.19489688,0.03938438,0.028160088,-0.08181553,-0.028230587,0.07713378,-0.15070765,0.12782083,-0.037358105,-0.1843723,-0.17181332,0.1274296,0.053793285,-0.0022236905,-0.054628734,-0.051597506,0.041804843,0.031791773
Microsoft,-0.07554883,-0.10918708,0.086470015,0.12598667,0.23476632,-0.20349883,0.15925243,-0.082713924,0.029528422,-0.2718885,-0.065550365,-0.12671335,-0.03107364,-0.23008347,0.04225151,0.25960934,-0.029633924,-0.26440746,0.052547164,-0.02813736,-0.042369798,-0.12538569,-0.09026801,0.085579865,0.057984225,0.22441341,-0.018856917,-0.07294116,0.050914958,-0.2021555,0.11730499,-0.048046034,-0.15964296,0.18500361,0.0985495,-0.018458238,-0.08273599,-0.14015162,0.06678016,-0.023246542,0.065561794,-0.13038142,0.09575631,0.057259474,0.069429524,-0.03526371,-0.024018943,-0.08559693,0.07910376,0.030223453,-0.0075063137,0.10052482,-0.044042762,-0.006205457,0.040511683,0.01771149,-0.1381773,0.011305908,-0.18902962,0.07253065,-0.060523253,-0.09269528,-0.13014612,-0.026394855,-0.08734979,0.012899766,-0.14715616,0.09723093,0.10010338,-0.008516378,0.1536854,-0.06142801,0.09002401,-0.029770128,-0.08072384,-0.028125636,-0.029130686,0.12242115,0.09654763,-0.07213797,-0.049112793
Glencore,-0.1891195,-0.20423377,0.28053832,0.119395815,0.123262875,0.13538702,-0.02367597,-0.08033343,-0.042589385,0.0065707634,0.10322951,0.057021283,0.045687083,0.070571676,0.085574396,0.19810979,-0.09190346,-0.028861117,-0.046705417,-0.30847672,-0.049652066,-0.077914454,0.059651367,0.21077265,-0.027849779,0.04901392,-0.23071091,0.027484182,0.14714941,-0.114184596,0.010254448,-0.05303354,0.117901646,0.042419378,-0.1360335,-0.047069922,-0.02642697,0.08857596,-0.06288915,0.07791743,-0.1152904,0.03964004,0.08647643,0.21000497,0.06698368,0.027182266,0.062087227,-0.08371678,-0.10337492,0.114927605,-0.061814915,-0.101880364,-0.22446284,-0.20070016,-0.14514497,-0.0035135625,0.00693305,-0.029231401,-0.03633956,0.20293392,0.063500516,-0.13066877,0.16037416,0.075325154,-0.00092930486,-0.071841314,0.10562806,0.050475452,0.050001293,-0.07793545,-0.022285664,0.056886442,0.042879026,0.04604072,0.11356059,0.111223385,0.026956465,0.036482435,0.11129308,-0.05949495,-0.008172719
Allianz,-0.118677616,0.033998523,0.069046535,0.061267335,0.11250294,0.24727692,0.069410965,-0.11882835,0.12891564,-0.048018552,0.056107514,-0.099682815,0.027541181,0.044113837,0.12688787,0.31901076,-0.001180529,-0.07841656,-0.17313254,-0.08407719,-0.0007644704,-0.031507406,0.080652334,-0.051041342,0.26227936,0.19740525,-0.06471915,-0.04832586,0.13573158,-0.23259619,0.04080006,0.13926978,0.08706507,0.030297983,0.060728967,-0.096742526,-0.06770799,-0.07466584,0.10730839,-0.3028502,0.030533222,0.014465217,0.22343141,0.060076293,-0.03700436,-0.12059428,0.13298377,-0.0064353263,0.060569305,0.078970544,0.08875793,0.0814866,0.030037006,-0.058827408,0.030569749,-0.10705275,-0.0640278,0.15518272,0.003186696,0.0032407832,0.0029707449,-0.09708643,0.14498991,-0.016667461,0.03983649,0.15123783,-0.01322214,6.943984e-05,0.111442,-0.12455015,0.114996195,0.06528042,0.01779145,0.010633032,-0.038899858,0.09698776,-0.028318163,-0.04100896,0.13837971,-0.08254048,0.19114478
Kroger,-0.09555787,-0.093557276,0.048289403,-0.0033578817,0.053099755,0.22033893,0.112387404,-0.106067516,-0.015390039,-0.13077976,0.009367067,-0.067688644,-0.04139799,-0.24721308,0.038100295,-0.17875053,0.078583166,-0.17699209,-0.030390324,-0.11595775,-0.016909854,-0.13370441,-0.18778428,0.15529211,-0.0422624,0.003360946,-0.06991258,0.0053441767,-0.04281982,-0.07941939,0.059941646,0.065845124,-0.016407546,0.14855565,-0.027101252,0.005110549,0.00920449,-0.021517335,-0.036557317,-0.023468906,0.25843516,-0.058107637,-0.018179832,-0.022557057,-0.0014377229,0.013805515,0.17021607,-0.22120315,0.082735084,-0.0077805007,0.065005,-0.011545969,-0.08112882,-0.0857174,-0.033196703,0.055597868,-0.13616557,0.052855268,-0.03574833,0.12283933,-0.02246717,-0.025892636,0.11724142,-0.41868493,0.025837267,-0.015203291,-0.041369338,-0.006696506,-0.03659081,0.014442954,0.19827825,0.060802385,-0.16064839,-0.079380065,0.2055387,0.23205648,0.055785548,-0.122244015,0.03315771,0.05885854,0.064068206
Home_Depot,-0.055033922,-0.1738943,7.446651e-05,-0.21284622,0.030186946,0.06269105,-0.08836987,-0.3035175,0.16168106,-0.1950904,0.06564192,0.016328676,0.13635395,-0.21968782,-0.040876172,-0.19073087,-0.028937384,-0.10295237,-0.17083474,-0.06810779,0.086405575,-0.033267595,-0.08391802,0.15385823,-0.02301016,0.15952206,-0.059763562,0.03982714,0.034508523,-0.14168619,0.12919785,0.06977611,-0.08985761,0.08384858,0.018929398,-0.004630475,0.05088004,0.034676738,0.06778821,-0.17322156,0.14901502,0.03485425,-0.043895215,0.028826268,0.10050765,-0.048857607,0.14545502,-0.083733,0.11438701,-0.070694484,0.17436941,0.0006904379,-0.049908753,-0.0050344192,-0.024098715,-0.030172277,-0.09480103,0.058287825,0.002533006,-0.048629742,-0.107708335,-0.06827712,0.109232984,-0.38514125,-0.06621269,0.091138504,0.021750232,-0.020474078,-0.04625748,0.024086459,0.07702907,-0.055405285,-0.018178789,0.05736216,0.14318211,0.21301723,0.09311862,-0.1159521,0.007877485,0.053543273,-0.011216337
